epoch,train_l1,train_perc,val_l1,val_perc,train_total,val_total,learning_rate
1,0.374263,6.338522,0.214927,6.821635,1.641968,1.579254,0.00080000
2,0.181115,6.330164,0.142106,6.317796,1.447148,1.405665,0.00080000
3,0.133208,5.927538,0.120071,5.631866,1.318716,1.246444,0.00080000
4,0.116348,5.394645,0.101781,5.214925,1.195277,1.144766,0.00080000
5,0.097866,5.342845,0.081299,5.360607,1.166435,1.153421,0.00080000
6,0.082178,5.364838,0.078088,5.191236,1.155145,1.116335,0.00080000
7,0.074481,5.110799,0.074639,4.773339,1.096641,1.029307,0.00080000
8,0.079066,5.049153,0.091070,5.609253,1.088897,1.212920,0.00080000
9,0.077951,5.124144,0.068899,4.984857,1.102779,1.065871,0.00080000
10,0.067309,4.903059,0.063685,4.992745,1.047921,1.062234,0.00080000
11,0.065033,4.940877,0.066237,5.263527,1.053209,1.118943,0.00080000
12,0.062993,4.841761,0.063830,5.337029,1.031345,1.131235,0.00080000
13,0.056574,4.803937,0.058303,4.795420,1.017362,1.017387,0.00080000
14,0.058410,4.866327,0.064800,5.146329,1.031675,1.094066,0.00080000
15,0.057803,4.810217,0.060211,5.027258,1.019846,1.065662,0.00080000
16,0.059157,4.710733,0.054362,4.744803,1.001303,1.003323,0.00080000
17,0.058682,4.671212,0.063416,4.977310,0.992925,1.058878,0.00080000
18,0.056179,4.839847,0.052400,4.655216,1.024148,0.983443,0.00080000
19,0.054228,4.819128,0.050314,4.713364,1.018053,0.992987,0.00080000
20,0.050693,4.688994,0.050845,4.787787,0.988492,1.008403,0.00080000
21,0.049253,4.556013,0.054190,4.876609,0.960455,1.029512,0.00080000
22,0.052941,4.788345,0.051746,4.806514,1.010610,1.013049,0.00080000
23,0.048622,4.654781,0.049457,4.970668,0.979578,1.043591,0.00080000
24,0.046538,4.627139,0.049732,4.857366,0.971966,1.021205,0.00080000
25,0.046823,4.604452,0.043385,4.537327,0.967713,0.950850,0.00080000
26,0.045481,4.589544,0.048785,4.708964,0.963390,0.990577,0.00080000
27,0.042955,4.351520,0.056383,4.884386,0.913259,1.033260,0.00080000
28,0.046355,4.524903,0.051764,4.758579,0.951336,1.003480,0.00080000
29,0.042651,4.382808,0.047037,4.770513,0.919213,1.001140,0.00080000
30,0.044497,4.572054,0.043400,4.583334,0.958907,0.960067,0.00080000
31,0.045959,4.597727,0.050579,4.785237,0.965504,1.007626,0.00080000
32,0.048895,4.688248,0.045521,4.573182,0.986545,0.960157,0.00080000
33,0.043049,4.507853,0.040695,4.425120,0.944619,0.925719,0.00080000
34,0.044327,4.588298,0.045055,4.633908,0.961987,0.971837,0.00080000
35,0.044821,4.554387,0.043090,4.547876,0.955698,0.952665,0.00080000
36,0.044825,4.573820,0.043670,4.367791,0.959589,0.917228,0.00080000
37,0.045810,4.427017,0.050846,4.607210,0.931213,0.972288,0.00080000
38,0.048538,4.472438,0.046380,4.689937,0.943025,0.984368,0.00080000
39,0.048644,4.520405,0.044115,4.291856,0.952725,0.902486,0.00080000
40,0.046222,4.396601,0.045270,4.475680,0.925542,0.940406,0.00080000
41,0.047793,4.500588,0.048541,4.798016,0.947911,1.008144,0.00080000
42,0.044969,4.400259,0.045362,4.340503,0.925020,0.913463,0.00080000
43,0.044094,4.359773,0.055431,4.589727,0.916049,0.973377,0.00080000
44,0.047764,4.409741,0.044870,4.561578,0.929712,0.957186,0.00080000
45,0.043286,4.499889,0.041106,4.423946,0.943263,0.925895,0.00080000
46,0.042117,4.362411,0.043625,4.349358,0.914599,0.913496,0.00080000
47,0.044197,4.438304,0.043381,4.556141,0.931858,0.954609,0.00080000
48,0.042680,4.323788,0.044557,4.389439,0.907438,0.922445,0.00080000
49,0.044137,4.310027,0.054746,4.736762,0.906143,1.002099,0.00080000
50,0.047774,4.494221,0.041484,4.379220,0.946619,0.917328,0.00080000
51,0.042041,4.318349,0.046107,4.546150,0.905711,0.955337,0.00080000
52,0.041180,4.320358,0.037874,4.294050,0.905252,0.896684,0.00080000
53,0.039502,4.265529,0.041575,4.300286,0.892608,0.901632,0.00080000
54,0.040744,4.332756,0.043801,4.676780,0.907296,0.979157,0.00080000
55,0.040374,4.253508,0.042580,4.446725,0.891076,0.931925,0.00080000
56,0.041922,4.475419,0.038684,4.227352,0.937006,0.884154,0.00080000
57,0.039379,4.345148,0.040153,4.453314,0.908409,0.930816,0.00080000
58,0.039308,4.383303,0.038652,4.342481,0.915968,0.907149,0.00080000
59,0.038726,4.344704,0.037996,4.420590,0.907667,0.922114,0.00080000
60,0.039036,4.425588,0.039967,4.476613,0.924153,0.935290,0.00080000
61,0.038847,4.346317,0.038960,4.431308,0.908111,0.925222,0.00080000
62,0.037528,4.253077,0.039004,4.345520,0.888143,0.908108,0.00080000
63,0.038065,4.239340,0.041166,4.453272,0.885933,0.931820,0.00080000
64,0.037965,4.261036,0.039307,4.389938,0.890172,0.917295,0.00080000
65,0.043176,4.455263,0.039980,4.325309,0.934229,0.905042,0.00080000
66,0.039077,4.315755,0.039750,4.373486,0.902228,0.914447,0.00080000
67,0.038517,4.255210,0.042809,4.586668,0.889559,0.960142,0.00080000
68,0.042313,4.329207,0.040699,4.434023,0.908154,0.927503,0.00080000
69,0.039420,4.233711,0.056345,4.553533,0.886163,0.967052,0.00080000
70,0.047219,4.322594,0.047935,4.587351,0.911738,0.965405,0.00080000
71,0.044148,4.324842,0.050222,4.468601,0.909116,0.943942,0.00080000
72,0.043762,4.242480,0.046021,4.406401,0.892258,0.927301,0.00080000
73,0.044062,4.262097,0.046781,4.455104,0.896481,0.937802,0.00080000
74,0.043291,4.338474,0.042496,4.310921,0.910985,0.904680,0.00080000
75,0.041783,4.348120,0.039272,4.379185,0.911407,0.915109,0.00080000
76,0.041205,4.348058,0.040048,4.227906,0.910816,0.885629,0.00080000
